"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR"
"White Sox","889","2267","96","306","294","20","7.9%","25.2%",".192",".314",".261",".326",".453",".334","113","88.7","-0.5","36.0","2.5","13.6"
"Padres","913","2231","95","325","312","55","9.1%","21.5%",".209",".291",".257",".333",".466",".341","115","89.8","2.1","45.1","7.4","12.7"
"Dodgers","921","2316","118","349","327","29","9.8%","20.3%",".227",".276",".256",".338",".483",".350","122","90.0","-5.1","60.9","-15.3","12.4"
"Braves","900","2344","103","348","338","23","10.2%","24.4%",".215",".322",".268",".349",".483",".355","120","89.5","3.7","64.1","-11.8","11.1"
"Mets","902","2279","86","286","278","20","8.6%","21.9%",".187",".320",".272",".348",".459",".347","121","88.4","-11.1","51.4","-9.3","10.0"
"Yankees","878","2210","94","315","301","27","11.4%","21.7%",".200",".280",".247",".342",".447",".341","116","89.2","6.0","49.7","-8.3","9.7"
"Athletics","865","2201","71","274","264","26","10.8%","23.8%",".171",".271",".225",".322",".396",".314","102","89.0","6.4","11.9","9.8","9.7"
"Rays","946","2261","80","289","274","48","10.7%","26.9%",".187",".300",".238",".328",".425",".325","110","88.9","5.6","32.1","5.6","9.5"
"Twins","882","2168","91","269","258","14","8.6%","24.4%",".186",".283",".242",".315",".427",".319","101","89.1","0.4","2.1","-3.0","9.4"
"Giants","974","2259","81","299","290","19","8.6%","22.1%",".187",".311",".263",".335",".451",".337","113","88.9","-3.2","33.3","-16.8","9.3"
"Cubs","908","2214","74","265","248","24","10.3%","25.7%",".167",".270",".220",".318",".387",".309","92","88.9","4.7","-18.4","7.4","8.6"
"Angels","890","2308","85","294","285","21","10.4%","21.2%",".182",".284",".248",".332",".430",".329","109","89.1","-3.5","21.9","-15.5","8.5"
"Cardinals","827","2011","51","240","231","18","10.2%","23.7%",".137",".290",".234",".323",".371",".306","93","87.3","-0.7","-19.1","7.3","7.6"
"Red Sox","884","2304","81","292","278","31","8.1%","23.7%",".180",".321",".265",".330",".445",".333","106","88.5","-0.5","17.3","-5.6","7.1"
"Royals","940","2200","68","248","237","49","7.8%","24.0%",".158",".297",".244",".309",".402",".308","91","87.1","3.1","-20.3","-6.6","7.0"
"Phillies","875","2223","82","306","289","35","10.3%","21.6%",".183",".299",".257",".342",".439",".336","109","88.4","3.3","29.7","-18.0","6.9"
"Indians","869","2247","59","248","234","25","10.6%","23.0%",".144",".277",".228",".317",".372",".303","87","88.2","-1.2","-36.0","6.1","6.9"
"Astros","860","2229","69","279","268","22","8.6%","19.7%",".168",".273",".240",".312",".408",".311","100","88.2","-0.6","-0.3","-19.9","5.7"
"Blue Jays","910","2263","88","302","288","33","9.0%","22.4%",".186",".297",".255",".325",".441",".329","105","89.5","-2.9","11.4","-14.2","5.6"
"Tigers","882","2076","62","249","242","19","7.1%","27.3%",".152",".314",".245",".303",".397",".303","89","88.5","-2.3","-31.3","-8.0","5.2"
"Mariners","843","2181","60","254","244","50","9.5%","25.0%",".144",".281",".226",".309",".370",".298","91","87.8","7.0","-18.3","-5.7","5.1"
"Reds","889","2123","90","243","237","29","11.3%","25.2%",".191",".245",".212",".312",".403",".312","91","88.2","-6.0","-31.4","-11.7","5.0"
"Diamondbacks","862","2238","58","269","255","23","8.1%","20.6%",".150",".282",".241",".312",".391",".306","88","88.0","5.5","-29.5","1.1","4.9"
"Orioles","906","2242","77","274","264","19","7.3%","22.9%",".171",".309",".258",".321",".429",".323","104","87.0","-4.1","6.7","-21.0","4.4"
"Brewers","906","2188","75","247","238","15","10.1%","26.6%",".166",".278",".223",".313",".389",".307","89","88.2","-17.6","-47.4","-5.7","4.4"
"Marlins","904","2167","60","263","247","51","8.8%","24.8%",".141",".306",".244",".319",".384",".308","96","87.3","4.0","-8.3","-10.7","3.7"
"Nationals","870","2218","66","293","279","33","8.7%","20.3%",".170",".308",".264",".336",".433",".330","104","87.7","-3.6","6.6","-31.8","3.3"
"Rockies","888","2257","63","275","264","42","7.1%","24.1%",".148",".316",".257",".311",".405",".307","76","87.0","10.8","-58.4","6.1","2.6"
"Pirates","873","2134","59","219","210","16","7.8%","24.4%",".137",".268",".220",".284",".357",".279","73","88.1","-2.3","-76.8","-9.0","0.9"
"Rangers","865","2147","62","224","204","49","7.8%","25.5%",".147",".266",".217",".285",".364",".283","76","88.6","3.0","-59.4","-17.8","-0.2"
