"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"HOU","2319","6291","221","863","834","53","9.0%","19.4%",".177",".303",".267",".339",".444",".336","","116","-6.2","117.6","7.0","33.9"
"TOR","2383","6070","262","846","816","81","8.2%","20.1%",".200",".296",".266",".330",".466",".340","","113","2.8","95.3","2.6","30.5"
"SFG","2597","6196","241","804","768","66","9.7%","23.6%",".191",".295",".249",".329",".440",".329","","108","-6.4","55.1","39.6","30.0"
"TBR","2389","6213","222","857","810","88","9.4%","24.8%",".186",".294",".243",".321",".429",".322","","109","11.2","82.7","5.4","30.0"
"LAD","2459","6239","237","830","799","65","9.8%","22.6%",".185",".284",".244",".330",".429",".327","","106","9.3","54.9","33.7","29.5"
"CHW","2292","6084","190","796","757","57","9.6%","22.8%",".166",".310",".256",".336",".422",".329","","109","-0.9","68.4","-22.7","25.3"
"STL","2384","6001","198","706","678","89","8.0%","22.3%",".168",".287",".244",".313",".412",".312","","97","11.7","-11.0","60.5","24.8"
"BOS","2353","6122","219","829","783","40","8.4%","22.6%",".188",".309",".261",".328",".449",".333","","107","-4.4","45.3","-22.0","23.2"
"OAK","2353","6104","199","743","698","88","8.9%","22.1%",".168",".278",".238",".317",".406",".313","","102","11.8","23.9","-3.5","22.8"
"MIL","2403","6099","194","738","700","82","9.6%","24.0%",".163",".283",".233",".317",".396",".310","","91","8.5","-61.0","81.2","22.2"
"ATL","2392","6056","239","790","762","59","9.1%","24.0%",".191",".288",".244",".319",".435",".323","","98","5.4","-8.2","28.8","22.1"
"CIN","2472","6162","222","786","756","36","9.0%","23.1%",".182",".296",".249",".328",".431",".327","","98","-15.1","-28.7","21.0","19.6"
"WSN","2386","6113","182","724","686","56","9.4%","21.3%",".159",".307",".258",".337",".417",".326","","101","-25.4","-19.3","9.5","19.2"
"SDP","2497","6119","180","729","695","110","9.6%","21.6%",".159",".287",".242",".321",".401",".312","","97","0.7","-20.2","5.1","18.7"
"PHI","2394","6089","198","734","700","77","9.3%","23.0%",".168",".286",".240",".318",".408",".313","","93","7.8","-47.6","32.6","18.6"
"NYY","2354","6060","222","711","666","63","10.2%","24.5%",".169",".285",".237",".322",".407",".317","","101","-15.1","-6.2","-17.9","18.2"
"NYM","2419","5856","176","636","604","54","8.5%","23.8%",".152",".291",".239",".315",".391",".307","","96","-13.5","-40.8","28.8","18.2"
"MIN","2356","6078","228","729","690","54","8.6%","23.1%",".182",".282",".241",".314",".423",".318","","101","-3.1","2.3","-35.2","17.4"
"CLE","2300","5907","203","717","686","109","7.7%","23.5%",".169",".282",".238",".303",".407",".306","","93","7.4","-43.6","1.0","15.8"
"CHC","2475","5972","210","705","672","86","8.4%","26.7%",".171",".296",".237",".312",".407",".311","","92","-8.6","-71.6","27.0","15.3"
"COL","2344","6007","182","739","709","76","8.2%","22.6%",".165",".299",".249",".317",".414",".315","","82","12.4","-125.4","77.6","15.1"
"KCR","2368","5993","163","686","647","124","7.0%","21.0%",".147",".292",".249",".306",".396",".304","","89","13.2","-64.7","-6.1","13.3"
"LAA","2325","6016","190","723","691","79","7.7%","23.2%",".162",".294",".245",".310",".407",".308","","94","6.8","-35.2","-38.1","13.1"
"TEX","2252","5943","167","625","598","106","7.3%","23.2%",".143",".280",".232",".294",".375",".291","","84","-1.8","-118.0","37.5","12.1"
"MIA","2436","5928","158","623","594","106","7.6%","26.2%",".139",".296",".233",".298",".372",".291","","84","0.4","-119.0","37.9","11.5"
"SEA","2360","6010","199","697","673","64","8.9%","24.8%",".159",".273",".226",".303",".385",".300","","93","-7.1","-55.8","-33.7","11.5"
"ARI","2449","6144","144","679","644","43","8.7%","23.8%",".146",".295",".236",".309",".382",".301","","84","6.6","-117.4","24.8","11.0"
"PIT","2393","5983","124","609","570","60","8.8%","22.2%",".128",".290",".236",".309",".364",".294","","83","-3.9","-135.5","29.1","9.1"
"BAL","2376","5983","195","659","632","54","7.5%","24.3%",".163",".290",".239",".304",".402",".305","","91","-6.2","-75.2","-38.7","8.9"
"DET","2341","5979","179","697","675","88","8.2%","25.3%",".158",".300",".242",".308",".399",".306","","93","1.2","-53.0","-60.8","8.9"
