tm,wp,r_diff,r_g,ra_g
TOR,0.669,316.359,6.12,4.167
NYY,0.604,162.859,4.862,3.857
WSN,0.593,181.359,6.009,4.89
LAD,0.585,140.459,5.06,4.193
BOS,0.56,103.459,5.209,4.57
ARI,0.555,90.559,4.946,4.387
HOU,0.548,86.559,5.307,4.772
ATL,0.547,77.359,4.857,4.38
STL,0.535,45.259,3.742,3.463
LAA,0.53,51.659,4.945,4.626
TEX,0.523,36.059,4.481,4.259
MIN,0.517,30.059,5.073,4.887
CHW,0.509,13.559,4.187,4.104
TBR,0.505,8.859,4.791,4.736
NYM,0.504,7.359,4.689,4.643
SDP,0.504,6.159,4.214,4.176
PIT,0.498,-3.741,4.298,4.321
BAL,0.494,-11.341,5.19,5.26
DET,0.488,-20.841,4.762,4.89
SEA,0.483,-26.141,4.191,4.352
MIL,0.48,-33.041,4.678,4.882
MIA,0.456,-71.841,4.375,4.818
SFG,0.454,-72.941,4.275,4.725
COL,0.434,-126.241,5.021,5.8
KCR,0.429,-116.241,4.238,4.956
PHI,0.426,-129.241,4.52,5.318
CLE,0.425,-129.941,4.483,5.285
CHC,0.387,-180.941,3.91,5.027
CIN,0.363,-200.441,3.448,4.685
OAK,0.353,-240.341,3.788,5.272
